station_id,station_name
13813,"Darshan Nagar, Chhapra, India"
13815,"DM Office_Kachari Chowk, Bhagalpur, India"
13816,"Kharahiya Basti, Araria, India"
13819,"Kamalnath Nagar, Bettiah, India"
13873,"Rohta, Agra, India"
13874,"New DM Office, Arrah, India"
13875,"Civic Center, Bhilai, India"
13877,"Shivaji Nagar, Jhansi, India"
13878,"Forest Rest House, Manguraha, India"
13879,"Chitragupta Nagar, Siwan, India"
14126,"IITH Kandi, Hyderabad, India"
14127,"Kokapet, Hyderabad, India"
14128,"DM College of Science, Imphal, India"
14129,"Chalai Bazaar, Ramanathapuram, India"
14130,"Ashwini Nagar, Haveri, India"
14131,"HIMUDA Complex Phase-1, Baddi, India"
14132,"Rajendra Nagar, Bareilly, India"
14138,"Bombay Castel, Ooty, India"
14139,"Bardowali, Agartala, India"
14141,"Sardar Patel Inter College, Baghpat, India"
14142,"Kumaran College, Tirupur, India"
14143,"Transport Nagar, Moradabad, India"
14145,"Manipur University, Imphal, India"
14148,"Gulzarpet, Anantapur, India"
14149,"Kompally Municipal Office, Hyderabad, India"
14150,"Meelavittan, Thoothukudi, India"
14151,"Vibhab Nagar, Firozabad, India"
14152,"Mendonsa Colony, Dindigul, India"
14153,"Kalindi Kunj, Khurja, India"
14154,"DM Office_Kasipur, Samastipur, India"
14155,"Nacharam_TSIIC IALA, Hyderabad, India"
14156,"ECIL Kapra, Hyderabad, India"
14207,"Brahmagiri, Udupi, India"
14695,"Paryavaran Parisar, Bhopal, India"
14696,"Girls College, Sivasagar, India"
14697,"Zero Point GICI, Gangtok, India"
14698,"Doon University, Dehradun, India"
14699,"Ramteerth Nagar, Belgaum, India"
14700,"Gurdeo Nagar, Aurangabad, India"
14701,"Crescent University, Chengalpattu, India"
2554,"Mandir Marg, Delhi, Delhi, India"
2555,"Punjabi Bagh, Delhi, Delhi, India"
