StationId,StationName,City,State,Latitude,Longitude
MH008,"Colaba, Mumbai - MPCB",Mumbai,Maharashtra,18.917,72.817
MH009,"Kurla, Mumbai - MPCB",Mumbai,Maharashtra,19.067,72.883
MH010,"Powai, Mumbai - MPCB",Mumbai,Maharashtra,19.117,72.917
MH011,"Sion, Mumbai - MPCB",Mumbai,Maharashtra,19.033,72.867
MH012,"Vasai West, Mumbai - MPCB",Mumbai,Maharashtra,19.367,72.817
MH013,"Vile Parle West, Mumbai - MPCB",Mumbai,Maharashtra,19.1,72.833
MH014,"Worli, Mumbai - MPCB",Mumbai,Maharashtra,19.0,72.817
ML001,"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,Meghalaya,25.567,91.883
MZ001,"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,Mizoram,23.733,92.717
OD001,"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,Odisha,21.817,83.917
OD002,"Talcher Coalfields,Talcher - OSPCB",Talcher,Odisha,20.95,85.233
PB001,"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,31.617,74.883
RJ004,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,26.9,75.833
RJ005,"Police Commissionerate, Jaipur - RSPCB",Jaipur,Rajasthan,26.917,75.817
RJ006,"Shastri Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,26.95,75.8
TN001,"Alandur Bus Depot, Chennai - CPCB",Chennai,Tamil Nadu,13.0,80.2
TN002,"Manali Village, Chennai - TNPCB",Chennai,Tamil Nadu,13.167,80.267
TN003,"Manali, Chennai - CPCB",Chennai,Tamil Nadu,13.167,80.267
TN004,"Velachery Res. Area, Chennai - CPCB",Chennai,Tamil Nadu,12.983,80.217
TN005,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,Tamil Nadu,10.95,76.967
TG001,"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,Telangana,17.533,78.35
TG002,"Central University, Hyderabad - TSPCB",Hyderabad,Telangana,17.467,78.317
TG003,"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,Telangana,17.517,78.267
TG004,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,Telangana,17.533,78.233
TG005,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,Telangana,17.467,78.45
TG006,"Zoo Park, Hyderabad - TSPCB",Hyderabad,Telangana,17.35,78.45
UP012,"Central School, Lucknow - CPCB",Lucknow,Uttar Pradesh,26.85,80.95
UP013,"Gomti Nagar, Lucknow - UPPCB",Lucknow,Uttar Pradesh,26.85,81.0
UP014,"Lalbagh, Lucknow - CPCB",Lucknow,Uttar Pradesh,26.833,80.917
UP015,"Nishant Ganj, Lucknow - UPPCB",Lucknow,Uttar Pradesh,26.867,80.933
UP016,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,Uttar Pradesh,26.833,80.883
WB007,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,22.533,88.367
WB008,"Bidhannagar, Kolkata - WBPCB",Kolkata,West Bengal,22.583,88.417
WB009,"Fort William, Kolkata - WBPCB",Kolkata,West Bengal,22.55,88.333
WB010,"Jadavpur, Kolkata - WBPCB",Kolkata,West Bengal,22.5,88.367
WB011,"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,West Bengal,22.583,88.367
WB012,"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,West Bengal,22.517,88.367
WB013,"Victoria, Kolkata - WBPCB",Kolkata,West Bengal,22.55,88.35
